Depth,Cone Resistance,Side Friction,P-wave Velocity
14.700000000000001,27.87,246.3,1.69125374
14.8,28.08,284.2,1.68697533
14.9,28.7,287.2,1.68269691
15.0,27.25,265.2,1.67807975
15.1,24.05,219.6,1.6730888
15.200000000000001,17.85,185.8,1.66809785
15.3,14.49,151.1,1.6631069
15.4,16.07,145.5,1.65811595
15.5,18.57,146.1,1.65174991
15.6,16.93,145.1,1.64413769
15.700000000000001,14.27,159.7,1.63652547
15.8,17.27,164.0,1.62891326
15.9,18.61,162.3,1.62130104
16.0,19.85,159.2,1.61197823
16.1,20.2,161.0,1.6013847
16.200000000000003,18.79,125.4,1.59079116
16.3,16.64,126.1,1.58019763
16.400000000000002,17.43,120.8,1.56960409
16.500000000000004,19.63,130.2,1.56450713
16.6,27.09,170.0,1.56273704
16.700000000000003,28.17,218.9,1.56096695
16.8,30.29,253.9,1.55919687
16.900000000000002,29.71,250.7,1.55742678
17.000000000000004,27.32,265.1,1.5613501
17.1,20.36,255.3,1.5680507
17.200000000000003,16.13,196.7,1.57475131
17.3,18.82,158.0,1.58145191
17.400000000000002,20.23,53.5,1.58815251
17.500000000000004,11.57,192.4,1.59548347
17.6,11.17,166.2,1.60305797
17.700000000000003,10.4,132.0,1.61063247
17.8,12.21,90.3,1.61820698
17.900000000000002,9.75,80.9,1.62578148
18.000000000000004,8.27,51.4,1.63167894
18.1,7.16,84.2,1.63707687
18.200000000000003,9.66,93.9,1.64247479
18.3,15.01,82.7,1.64787271
18.400000000000002,14.72,103.9,1.65327063
18.500000000000004,11.58,160.9,1.65707511
18.6,11.44,137.4,1.66052903
18.700000000000003,11.26,89.8,1.66398295
18.8,10.41,79.1,1.66743687
18.900000000000002,13.12,108.9,1.67089079
19.000000000000004,15.21,139.9,1.67707957
19.1,15.23,144.1,1.68368116
19.200000000000003,14.73,143.8,1.69028275
19.300000000000004,15.21,129.4,1.69688434
19.400000000000002,11.75,123.8,1.70348593
19.500000000000004,8.33,123.6,1.70719785
19.6,8.94,99.8,1.71065177
19.700000000000003,9.41,92.6,1.71410568
19.800000000000004,9.94,95.2,1.7175596
19.900000000000002,12.03,103.9,1.72101352
20.000000000000004,12.97,120.6,1.71924649
20.1,14.48,141.1,1.71730249
20.200000000000003,12.72,148.7,1.71535849
20.300000000000004,12.23,149.7,1.71341448
20.400000000000002,12.68,123.8,1.71137016
20.500000000000004,12.38,131.2,1.70330634
20.6,15.89,121.1,1.69524253
20.700000000000003,11.95,158.8,1.68717872
20.800000000000004,2.92,179.6,1.67911491
20.900000000000002,1.41,92.7,1.67117857
21.000000000000004,0.92,35.7,1.66505876
21.1,1.29,32.4,1.65893895
21.200000000000003,1.21,49.5,1.65281914
21.300000000000004,2.78,57.5,1.64669934
21.400000000000002,13.87,99.1,1.64081527
21.500000000000004,14.28,123.1,1.63674975
21.6,14.22,123.8,1.63268423
21.700000000000003,14.19,113.7,1.62861871
21.800000000000004,13.93,129.6,1.62455319
21.900000000000002,14.27,144.4,1.62019085
22.000000000000004,15.56,113.5,1.61431475
22.1,16.59,133.7,1.60843864
22.200000000000003,17.9,160.4,1.60256254
22.300000000000004,20.51,162.6,1.59668643
22.400000000000002,24.32,172.9,1.59270634
22.500000000000004,23.35,186.4,1.59572692
22.6,18.63,166.8,1.59874751
22.700000000000003,16.7,149.8,1.60176809
22.800000000000004,15.22,162.6,1.60478867
22.900000000000002,16.6,163.1,1.61013087
23.000000000000004,16.32,128.0,1.62200263
23.1,15.61,0.0,1.63387439
23.200000000000003,10.88,127.4,1.64574615
23.300000000000004,17.16,140.5,1.65761791
23.400000000000002,18.98,136.0,1.66948967
23.500000000000004,15.94,122.6,1.68136143
23.6,14.64,122.0,1.69323319
23.700000000000003,12.9,131.7,1.70510495
23.800000000000004,13.15,123.9,1.71697671
23.900000000000002,13.0,134.1,1.72712249
24.000000000000004,14.38,149.4,1.73420859
24.1,15.61,163.5,1.7412947
24.200000000000003,15.92,174.9,1.7483808
24.300000000000004,13.6,179.0,1.7554669
24.400000000000002,14.02,147.9,1.75964886
24.500000000000004,15.43,158.5,1.75964886
24.6,13.53,158.7,1.75964886
24.700000000000003,8.1,171.0,1.75964886
24.800000000000004,2.42,145.4,1.75964886
24.900000000000002,0.88,48.5,1.75639622
25.000000000000004,0.77,15.7,1.74931012
25.1,0.75,13.6,1.74222402
25.200000000000003,0.87,14.2,1.73513792
25.300000000000004,1.04,21.0,1.72805182
25.400000000000002,12.49,105.9,1.71853366
25.500000000000004,3.52,150.4,1.7066619
25.6,5.69,95.5,1.69479014
25.700000000000003,3.74,51.8,1.68291838
25.800000000000004,1.74,42.1,1.67104662
25.900000000000002,1.47,38.1,1.66129928
26.000000000000004,1.15,43.5,1.65323898
26.1,1.21,35.3,1.64517868
26.200000000000003,1.45,39.4,1.63711839
26.300000000000004,1.73,54.1,1.62905809
26.400000000000002,1.61,67.5,1.62265452
26.500000000000004,1.57,67.5,1.61732559
26.6,1.42,64.3,1.61199665
26.700000000000003,1.39,57.2,1.60666772
26.800000000000004,1.46,52.9,1.60133879
26.900000000000002,1.43,46.9,1.60184375
27.000000000000004,1.42,46.1,1.60541151
27.1,1.39,36.0,1.60897927
27.200000000000003,1.42,39.6,1.61254702
27.300000000000004,1.59,34.1,1.61611478
27.400000000000002,1.68,38.0,1.61840622
27.500000000000004,1.97,55.1,1.62016339
27.6,2.32,66.8,1.62192056
27.700000000000003,2.14,89.8,1.62367773
27.800000000000004,2.87,108.6,1.6254349
27.900000000000002,3.86,124.6,1.62586699
28.000000000000004,3.29,135.4,1.62586699
28.1,3.2,116.8,1.62586699
28.200000000000003,2.64,112.2,1.62586699
28.300000000000004,1.95,100.1,1.62586699
28.400000000000002,1.65,72.9,1.62445549
28.500000000000004,1.92,68.5,1.62269832
28.6,2.68,69.7,1.62094115
28.700000000000003,5.61,111.3,1.61918398
28.800000000000004,4.38,120.3,1.61742681
28.900000000000002,2.64,82.0,1.61099576
29.000000000000004,1.79,53.6,1.60375576
29.1,1.91,56.5,1.59651577
29.200000000000003,2.23,61.0,1.58927577
29.300000000000004,3.57,61.8,1.58203577
29.400000000000002,2.31,84.2,1.57645203
29.500000000000004,1.6,71.4,1.57104897
29.6,1.5,43.6,1.56564591
29.700000000000003,1.42,38.1,1.56024285
29.800000000000004,1.33,35.2,1.55483979
29.900000000000002,1.32,23.0,1.54613698
30.000000000000004,1.05,23.4,1.53726348
30.1,0.87,27.8,1.52838998
30.200000000000003,1.3,27.8,1.51951649
30.300000000000004,1.33,27.8,1.51064299
0.1,0.31,4.1,0.39746153
0.2,0.31,27.3,0.40506304
0.30000000000000004,1.02,58.8,0.41266454
0.4,0.89,78.1,0.42026605
0.5,0.62,69.5,0.42786756
0.6,0.5,61.6,0.43574923
0.7000000000000001,0.54,63.6,0.44904742
0.8,0.69,72.2,0.46234561
0.9,0.73,80.0,0.47564381
1.0,0.93,85.1,0.488942
1.1,1.2,96.0,0.50399792
1.2000000000000002,1.16,104.8,0.53516639
1.3000000000000003,1.08,108.1,0.56633485
1.4000000000000001,0.88,94.3,0.59750332
1.5000000000000002,0.71,89.3,0.62867178
1.6,0.54,78.6,0.66253587
1.7000000000000002,0.47,71.6,0.7119747
1.8000000000000003,0.57,69.8,0.76141353
1.9000000000000001,0.55,62.0,0.81085236
2.0,0.57,58.0,0.86029119
2.1,0.69,60.8,0.91253582
2.2,0.9,69.4,0.97623744
2.3000000000000003,0.85,74.9,1.03993905
2.4000000000000004,0.91,74.3,1.10364067
2.5000000000000004,0.95,77.9,1.16734229
2.6,0.91,74.6,1.22611262
2.7,0.92,77.1,1.26976034
2.8000000000000003,0.9,78.8,1.31340805
2.9000000000000004,0.83,67.0,1.35705576
3.0000000000000004,0.82,68.7,1.40070347
3.1,0.98,71.3,1.43919212
3.2,0.89,79.5,1.46535635
3.3000000000000003,1.07,81.9,1.49152058
3.4000000000000004,1.3,96.1,1.5176848
3.5000000000000004,1.17,93.3,1.54384903
